originator_participant,originator_account,originator_name,beneficiary_participant,beneficiary_account,beneficiary_name,amount_minor,currency,reference,remittance,end_to_end_id
PAYROLL01,1000000001,ACME LTD,BANK02,9000000001,EMPLOYEE 01,150000,GHS,SAL-2026-04-01,April salary,PAY-2026-04-001
PAYROLL01,1000000001,ACME LTD,BANK02,9000000002,EMPLOYEE 02,160000,GHS,SAL-2026-04-02,April salary,PAY-2026-04-002
PAYROLL01,1000000001,ACME LTD,BANK02,9000000003,EMPLOYEE 03,170000,GHS,SAL-2026-04-03,April salary,PAY-2026-04-003
PAYROLL01,1000000001,ACME LTD,BANK02,9000000004,EMPLOYEE 04,180000,GHS,SAL-2026-04-04,April salary,PAY-2026-04-004
PAYROLL01,1000000001,ACME LTD,BANK02,9000000005,EMPLOYEE 05,190000,GHS,SAL-2026-04-05,April salary,PAY-2026-04-005
PAYROLL01,1000000001,ACME LTD,BANK02,9000000006,EMPLOYEE 06,200000,GHS,SAL-2026-04-06,April salary,PAY-2026-04-006
PAYROLL01,1000000001,ACME LTD,BANK02,9000000007,EMPLOYEE 07,210000,GHS,SAL-2026-04-07,April salary,PAY-2026-04-007
PAYROLL01,1000000001,ACME LTD,BANK02,9000000008,EMPLOYEE 08,220000,GHS,SAL-2026-04-08,April salary,PAY-2026-04-008
PAYROLL01,1000000001,ACME LTD,BANK02,9000000009,EMPLOYEE 09,230000,GHS,SAL-2026-04-09,April salary,PAY-2026-04-009
PAYROLL01,1000000001,ACME LTD,BANK02,9000000010,EMPLOYEE 10,240000,GHS,SAL-2026-04-10,April salary,PAY-2026-04-010
